Embed Dim,Window,Neg Samples,CBOW Scratch,SG Scratch,CBOW Gensim,SG Gensim
50,2,5,0.7655,0.6875,0.4779,0.653
50,2,10,0.7704,0.6806,0.4501,0.6584
50,5,5,0.8708,0.7325,0.3745,0.7062
50,5,10,0.8524,0.7422,0.4086,0.7345
100,2,5,0.7497,0.6337,0.3721,0.508
100,2,10,0.7359,0.6191,0.3436,0.5331
100,5,5,0.84,0.6589,0.3039,0.5544
100,5,10,0.8449,0.6522,0.2922,0.5784
200,2,5,0.7319,0.5903,0.3225,0.4105
200,2,10,0.7101,0.5942,0.3145,0.4342
200,5,5,0.8204,0.6133,0.2687,0.4401
200,5,10,0.8284,0.6061,0.2663,0.4714
